NUM_CPT,CODE_COMMUNE,CODE_SECTEUR,VILLE,CONSO_1,CONSO_0,PROFIL
ZZ8729650,2,1,ARCACHON,22,21,1 - SEGMENT P
ZZ730086590,2,1,ARCACHON,74,79,1 - SEGMENT P
ZZ87149957,2,1,ARCACHON,57,57,1 - SEGMENT P
ZZ82057369,2,1,ARCACHON,63,99,1 - SEGMENT P
2000AA161270,2,1,ARCACHON,73,65,1 - SEGMENT P
ZZ25120439,2,1,ARCACHON,83,82,1 - SEGMENT P
ZZ93PA208513,2,1,ARCACHON,78,87,1 - SEGMENT P
ZZ90BB016123,2,1,ARCACHON,53,43,1 - SEGMENT P
ZZ88BA082904,2,1,ARCACHON,52,80,1 - SEGMENT P
05AE947162,2,1,ARCACHON,0,0,1 - SEGMENT P
ZZ8705694,2,1,ARCACHON,10,12,1 - SEGMENT P
ZZ79040199,2,1,ARCACHON,10,23,1 - SEGMENT P
03AA868072,2,1,ARCACHON,17,21,1 - SEGMENT P
ZZ83076568,2,1,ARCACHON,44,111,1 - SEGMENT P
2001AA653033,2,1,ARCACHON,36,29,1 - SEGMENT P
ZZ746317960,2,1,ARCACHON,41,53,1 - SEGMENT P
ZZ88027517,2,1,ARCACHON,20,20,1 - SEGMENT P
ZZ726044090,2,1,ARCACHON,22,21,1 - SEGMENT P
2001AA653045,2,1,ARCACHON,3,1,1 - SEGMENT P
ZZ96003109,2,1,ARCACHON,50,54,1 - SEGMENT P
ZZ746317570,2,1,ARCACHON,48,64,1 - SEGMENT P
ZZ93PA266358,2,1,ARCACHON,119,150,1 - SEGMENT P
ZZ93PA266359,2,1,ARCACHON,19,19,1 - SEGMENT P
ZZ93PA266356,2,1,ARCACHON,2,2,1 - SEGMENT P
ZZ93PA266355,2,1,ARCACHON,21,14,1 - SEGMENT P
93266354,2,1,ARCACHON,10,13,1 - SEGMENT P
ZZ748508160,2,1,ARCACHON,58,50,1 - SEGMENT P
05XA600757,2,1,ARCACHON,15,15,1 - SEGMENT P
ZZ8239907,2,1,ARCACHON,42,27,1 - SEGMENT P
ZZ78010920,2,1,ARCACHON,30,31,1 - SEGMENT P
05XA600771,2,1,ARCACHON,127,112,1 - SEGMENT P
ZZ90003796,2,1,ARCACHON,44,70,1 - SEGMENT P
ZZ90BB016106,2,1,ARCACHON,95,94,1 - SEGMENT P
ZZ87232942,2,1,ARCACHON,36,41,1 - SEGMENT P
ZZ88BA747938,2,1,ARCACHON,51,43,1 - SEGMENT P
ZZ8705730,2,1,ARCACHON,116,130,1 - SEGMENT P
ZZ757393690,2,1,ARCACHON,96,94,1 - SEGMENT P
ZZ93PA249329,2,1,ARCACHON,25,26,1 - SEGMENT P
ZZ174020379,2,2,ARCACHON,19,19,1 - SEGMENT P
ZZ79091480,2,2,ARCACHON,17,21,1 - SEGMENT P
ZZ88077319,2,2,ARCACHON,43,46,1 - SEGMENT P
ZZ97040433,2,2,ARCACHON,81,78,1 - SEGMENT P
ZZ88BA747875,2,2,ARCACHON,28,26,1 - SEGMENT P
ZZ88BA087160,2,2,ARCACHON,127,112,1 - SEGMENT P
ZZ96265660,2,2,ARCACHON,58,60,1 - SEGMENT P
ZZ93311918,2,2,ARCACHON,90,86,1 - SEGMENT P
ZZ95001399,2,2,ARCACHON,52,25,1 - SEGMENT P
ZZ90BA010870,2,2,ARCACHON,91,100,1 - SEGMENT P
ZZ83039487,2,2,ARCACHON,115,112,1 - SEGMENT P
ZZ95PA455625,2,2,ARCACHON,4,3,1 - SEGMENT P
ZZ8705698,2,2,ARCACHON,112,117,1 - SEGMENT P
ZZ88BA027513,2,2,ARCACHON,10,12,1 - SEGMENT P
ZZ92PA294280,2,2,ARCACHON,10,10,1 - SEGMENT P
ZZ94281831,2,2,ARCACHON,52,69,1 - SEGMENT P
ZZ87241253,2,2,ARCACHON,26,24,1 - SEGMENT P
ZZ90BB010836,2,2,ARCACHON,24,64,1 - SEGMENT P
ZZ90PA205127,2,2,ARCACHON,119,107,1 - SEGMENT P
05XA226603,2,2,ARCACHON,146,163,1 - SEGMENT P
